store,region,product,date,dow,ppu,quantity,value,pc_sold
A001,A,apple,2021-06-29,TUE,1.09,304,331.36,86.8
A001,A,apple,2021-06-30,WED,1.09,304,331.36,82.1
A001,A,apple,2021-07-01,THU,1.11,303,336.33,75.1
A001,A,apple,2021-07-02,FRI,1.11,299,331.89,77.7
A001,A,apple,2021-07-03,SAT,1.11,328,364.08,83.3
A001,A,apple,2021-07-04,SUN,1.11,329,365.19,87
A001,A,apple,2021-07-05,MON,1.11,298,330.78,77.6
A001,A,apple,2021-07-06,TUE,1.11,297,329.67,83.8
A001,A,apple,2021-07-07,WED,1.11,304,337.44,80.4
A001,A,apple,2021-07-08,THU,1.12,298,333.76,80.7
A001,A,apple,2021-07-09,FRI,1.12,297,332.64,82.4
A001,A,apple,2021-07-10,SAT,1.12,331,370.72,82.1
A001,A,apple,2021-07-11,SUN,1.12,326,365.12,82.3
A001,A,apple,2021-07-12,MON,1.12,296,331.52,84.2
A001,A,apple,2021-07-13,TUE,1.12,299,334.88,82
A001,A,apple,2021-07-14,WED,1.12,300,336,75
A001,A,apple,2021-07-15,THU,1.12,306,342.72,79.4
A001,A,apple,2021-07-16,FRI,1.12,296,331.52,71.6
A001,A,apple,2021-07-17,SAT,1.12,330,369.6,66.3
A001,A,apple,2021-07-18,SUN,1.12,326,365.12,66.4
A001,A,apple,2021-07-19,MON,1.12,304,340.48,72.2
A001,A,apple,2021-07-20,TUE,1.12,303,339.36,73.4
A001,A,apple,2021-07-21,WED,1.12,297,332.64,77.3
A001,A,apple,2021-07-22,THU,1.14,304,346.56,69.6
A001,A,apple,2021-07-23,FRI,1.14,300,342,78.7
A001,A,apple,2021-07-24,SAT,1.14,325,370.5,82
A001,A,apple,2021-07-25,SUN,1.14,329,375.06,89.1
A001,A,apple,2021-07-26,MON,1.14,304,346.56,75.5
A001,A,apple,2021-07-27,TUE,1.14,295,336.3,80.9
A001,A,apple,2021-07-28,WED,1.14,299,340.86,80.7
A001,A,apple,2021-07-29,THU,1.16,301,349.16,67.8
A001,A,apple,2021-07-30,FRI,1.16,299,346.84,89
A001,A,apple,2021-07-31,SAT,1.16,330,382.8,83
A001,A,apple,2021-08-01,SUN,1.16,325,377,87.9
A001,A,apple,2021-08-02,MON,1.16,295,342.2,77.6
A001,A,apple,2021-08-03,TUE,1.16,302,350.32,77.1
A001,A,apple,2021-08-04,WED,1.16,300,348,69.7
A001,A,apple,2021-08-05,THU,1.18,304,358.72,83.5
A001,A,apple,2021-08-06,FRI,1.18,300,354,80.8
A001,A,apple,2021-08-07,SAT,1.18,329,388.22,82.6
A001,A,apple,2021-08-08,SUN,1.18,329,388.22,80.3
A001,A,apple,2021-08-09,MON,1.18,296,349.28,82
A001,A,apple,2021-08-10,TUE,1.18,299,352.82,77.3
A001,A,apple,2021-08-11,WED,1.18,302,356.36,72.8
A001,A,apple,2021-08-12,THU,1.19,307,365.33,81.6
A001,A,apple,2021-08-13,FRI,1.19,306,364.14,77.6
A001,A,apple,2021-08-14,SAT,1.19,326,387.94,75.3
A001,A,apple,2021-08-15,SUN,1.19,329,391.51,77.9
A001,A,apple,2021-08-16,MON,1.19,301,358.19,76.8
A001,A,apple,2021-08-17,TUE,1.19,298,354.62,81.3
A001,A,apple,2021-08-18,WED,1.19,296,352.24,76.1
A001,A,apple,2021-08-19,THU,1.22,299,364.78,76.5
A001,A,apple,2021-08-20,FRI,1.22,302,368.44,80.6
A001,A,apple,2021-08-21,SAT,1.22,327,398.94,89
A001,A,apple,2021-08-22,SUN,1.22,326,397.72,88.9
A001,A,apple,2021-08-23,MON,1.22,295,359.9,78.6
A001,A,apple,2021-08-24,TUE,1.22,307,374.54,77.1
A001,A,apple,2021-08-25,WED,1.22,299,364.78,80.1
A001,A,apple,2021-08-26,THU,1.21,295,356.95,73.1
A001,A,apple,2021-08-27,FRI,1.21,297,359.37,77.4
A001,A,apple,2021-08-28,SAT,1.21,327,395.67,78.7
A001,A,apple,2021-08-29,SUN,1.21,329,398.09,78.4
A001,A,apple,2021-08-30,MON,1.21,306,370.26,82.2
A001,A,apple,2021-08-31,TUE,1.21,297,359.37,83
A001,A,apple,2021-09-01,WED,1.21,299,361.79,80.1
A001,A,apple,2021-09-02,THU,1.24,296,367.04,78.9
A001,A,apple,2021-09-03,FRI,1.24,303,375.72,74.4
A001,A,apple,2021-09-04,SAT,1.24,329,407.96,83.1
A001,A,apple,2021-09-05,SUN,1.24,328,406.72,76.9
A001,A,apple,2021-09-06,MON,1.24,299,370.76,75.5
A001,A,apple,2021-09-07,TUE,1.24,305,378.2,66.7
A001,A,apple,2021-09-08,WED,1.24,305,378.2,63
A001,A,apple,2021-09-09,THU,1.24,304,376.96,85.9
A001,A,apple,2021-09-10,FRI,1.24,305,378.2,87.5
A001,A,apple,2021-09-11,SAT,1.24,329,407.96,76.1
A001,A,apple,2021-09-12,SUN,1.24,326,404.24,75.5
A001,A,apple,2021-09-13,MON,1.24,296,367.04,77.8
A001,A,apple,2021-09-14,TUE,1.24,302,374.48,94.1
A001,A,apple,2021-09-15,WED,1.24,300,372,84.2
A001,A,apple,2021-09-16,THU,1.26,297,374.22,83.4
A001,A,apple,2021-09-17,FRI,1.26,300,378,83.2
A001,A,apple,2021-09-18,SAT,1.26,330,415.8,78.4
A001,A,apple,2021-09-19,SUN,1.26,329,414.54,88.7
A001,A,apple,2021-09-20,MON,1.26,301,379.26,82
A001,A,apple,2021-09-21,TUE,1.26,297,374.22,80
A001,A,apple,2021-09-22,WED,1.26,305,384.3,81.8
A001,A,apple,2021-09-23,THU,1.28,299,382.72,77.4
A001,A,apple,2021-09-24,FRI,1.28,304,389.12,80.8
A001,A,apple,2021-09-25,SAT,1.28,327,418.56,91.7
A001,A,apple,2021-09-26,SUN,1.28,328,419.84,83.3
A001,A,apple,2021-09-27,MON,1.28,296,378.88,76.7
A001,A,apple,2021-09-28,TUE,1.28,305,390.4,85.1
A001,A,apple,2021-09-29,WED,1.28,300,384,76.5
A001,A,apple,2021-09-30,THU,1.28,304,389.12,88.3
A001,A,banana,2021-04-01,THU,2.77,264,731.28,81.7
A001,A,banana,2021-04-02,FRI,2.77,261,722.97,70.6
A001,A,banana,2021-04-03,SAT,2.77,290,803.3,72.7
A001,A,banana,2021-04-04,SUN,2.77,291,806.07,70
A001,A,banana,2021-04-05,MON,2.77,268,742.36,50
A001,A,banana,2021-04-06,TUE,2.77,269,745.13,62.1
A001,A,banana,2021-04-07,WED,2.77,262,725.74,63.6
A001,A,banana,2021-04-08,THU,2.78,262,728.36,67.9
A001,A,banana,2021-04-09,FRI,2.78,266,739.48,81.3
A001,A,banana,2021-04-10,SAT,2.78,290,806.2,81.7
A001,A,banana,2021-04-11,SUN,2.78,288,800.64,75.8
A001,A,banana,2021-04-12,MON,2.78,266,739.48,64.1
A001,A,banana,2021-04-13,TUE,2.78,267,742.26,54.2
A001,A,banana,2021-04-14,WED,2.78,260,722.8,59.8
A001,A,banana,2021-04-15,THU,2.8,262,733.6,70.3
A001,A,banana,2021-04-16,FRI,2.8,270,756,70.8
A001,A,banana,2021-04-17,SAT,2.8,291,814.8,57.3
A001,A,banana,2021-04-18,SUN,2.8,289,809.2,55.7
A001,A,banana,2021-04-19,MON,2.8,266,744.8,66.6
A001,A,banana,2021-04-20,TUE,2.8,266,744.8,68.4
A001,A,banana,2021-04-21,WED,2.8,263,736.4,73.7
A001,A,banana,2021-04-22,THU,2.81,262,736.22,62.8
A001,A,banana,2021-04-23,FRI,2.81,262,736.22,60.2
A001,A,banana,2021-04-24,SAT,2.81,290,814.9,58.6
A001,A,banana,2021-04-25,SUN,2.81,287,806.47,70.3
A001,A,banana,2021-04-26,MON,2.81,269,755.89,60.3
A001,A,banana,2021-04-27,TUE,2.81,263,739.03,68.9
A001,A,banana,2021-04-28,WED,2.81,265,744.65,66.9
A001,A,banana,2021-04-29,THU,2.84,270,766.8,68.4
A001,A,banana,2021-04-30,FRI,2.84,270,766.8,65.9
A001,A,banana,2021-05-01,SAT,2.84,290,823.6,69.4
A001,A,banana,2021-05-02,SUN,2.84,290,823.6,63.4
A001,A,banana,2021-05-03,MON,2.84,260,738.4,76.6
A001,A,banana,2021-05-04,TUE,2.84,263,746.92,72
A001,A,banana,2021-05-05,WED,2.84,264,749.76,77
A001,A,banana,2021-05-06,THU,2.83,270,764.1,71.7
A001,A,banana,2021-05-07,FRI,2.83,269,761.27,61.3
A001,A,banana,2021-05-08,SAT,2.83,288,815.04,83.4
A001,A,banana,2021-05-09,SUN,2.83,287,812.21,76
A001,A,banana,2021-05-10,MON,2.83,265,749.95,73.5
A001,A,banana,2021-05-11,TUE,2.83,260,735.8,72.5
A001,A,banana,2021-05-12,WED,2.83,260,735.8,70
A001,A,banana,2021-05-13,THU,2.83,266,752.78,87.9
A001,A,banana,2021-05-14,FRI,2.83,263,744.29,84.6
A001,A,banana,2021-05-15,SAT,2.83,289,817.87,90.2
A001,A,banana,2021-05-16,SUN,2.83,287,812.21,84
A001,A,banana,2021-05-17,MON,2.83,270,764.1,82.9
A001,A,banana,2021-05-18,TUE,2.83,261,738.63,78.9
A001,A,banana,2021-05-19,WED,2.83,270,764.1,74.8
A001,A,banana,2021-05-20,THU,2.83,266,752.78,81.9
A001,A,banana,2021-05-21,FRI,2.83,266,752.78,81.8
A001,A,banana,2021-05-22,SAT,2.83,290,820.7,83.3
A001,A,banana,2021-05-23,SUN,2.83,290,820.7,80.2
A001,A,banana,2021-05-24,MON,2.83,261,738.63,84.4
A001,A,banana,2021-05-25,TUE,2.83,266,752.78,75.7
A001,A,banana,2021-05-26,WED,2.83,269,761.27,79.4
A001,A,banana,2021-05-27,THU,2.84,264,749.76,75.3
A001,A,banana,2021-05-28,FRI,2.84,266,755.44,74.9
A001,A,banana,2021-05-29,SAT,2.84,286,812.24,65.5
A001,A,banana,2021-05-30,SUN,2.84,290,823.6,78.2
A001,A,banana,2021-05-31,MON,2.84,261,741.24,74.8
A001,A,banana,2021-06-01,TUE,2.84,270,766.8,62.7
A001,A,banana,2021-06-02,WED,2.84,262,744.08,63.1
A001,A,banana,2021-06-03,THU,2.83,266,752.78,74.6
A001,A,banana,2021-06-04,FRI,2.83,268,758.44,86.2
A001,A,banana,2021-06-05,SAT,2.83,290,820.7,69.4
A001,A,banana,2021-06-06,SUN,2.83,288,815.04,76.6
A001,A,banana,2021-06-07,MON,2.83,262,741.46,76.9
A001,A,banana,2021-06-08,TUE,2.83,261,738.63,68.2
A001,A,banana,2021-06-09,WED,2.83,269,761.27,68.3
A001,A,banana,2021-06-10,THU,2.83,270,764.1,79.6
A001,A,banana,2021-06-11,FRI,2.83,264,747.12,76.8
A001,A,banana,2021-06-12,SAT,2.83,291,823.53,69.2
A001,A,banana,2021-06-13,SUN,2.83,291,823.53,65.4
A001,A,banana,2021-06-14,MON,2.83,270,764.1,66.9
A001,A,banana,2021-06-15,TUE,2.83,260,735.8,63.2
A001,A,banana,2021-06-16,WED,2.83,268,758.44,69.7
A001,A,banana,2021-06-17,THU,2.84,260,738.4,89.3
A001,A,banana,2021-06-18,FRI,2.84,268,761.12,95.7
A001,A,banana,2021-06-19,SAT,2.84,289,820.76,91.6
A001,A,banana,2021-06-20,SUN,2.84,288,817.92,92.9
A001,A,banana,2021-06-21,MON,2.84,270,766.8,85.6
A001,A,banana,2021-06-22,TUE,2.84,260,738.4,73.7
A001,A,banana,2021-06-23,WED,2.84,261,741.24,68.9
A001,A,banana,2021-06-24,THU,2.83,267,755.61,85.9
A001,A,banana,2021-06-25,FRI,2.83,267,755.61,81.6
A001,A,banana,2021-06-26,SAT,2.83,288,815.04,81.8
A001,A,banana,2021-06-27,SUN,2.83,288,815.04,89.3
A001,A,banana,2021-06-28,MON,2.83,264,747.12,96.9
A001,A,banana,2021-06-29,TUE,2.83,266,752.78,86.8
A001,A,banana,2021-06-30,WED,2.83,266,752.78,82.1
A001,A,banana,2021-07-01,THU,2.83,261,738.63,75.1
A001,A,banana,2021-07-02,FRI,2.83,262,741.46,77.7
A001,A,banana,2021-07-03,SAT,2.83,290,820.7,83.3
A001,A,banana,2021-07-04,SUN,2.83,286,809.38,87
A001,A,banana,2021-07-05,MON,2.83,260,735.8,77.6
A001,A,banana,2021-07-06,TUE,2.83,264,747.12,83.8
A001,A,banana,2021-07-07,WED,2.83,265,749.95,80.4
A001,A,banana,2021-07-08,THU,2.84,270,766.8,80.7
A001,A,banana,2021-07-09,FRI,2.84,270,766.8,82.4
A001,A,banana,2021-07-10,SAT,2.84,291,826.44,82.1
A001,A,banana,2021-07-11,SUN,2.84,291,826.44,82.3
A001,A,banana,2021-07-12,MON,2.84,261,741.24,84.2
A001,A,banana,2021-07-13,TUE,2.84,264,749.76,82
A001,A,banana,2021-07-14,WED,2.84,267,758.28,75
A001,A,banana,2021-07-15,THU,2.83,260,735.8,79.4
A001,A,banana,2021-07-16,FRI,2.83,264,747.12,71.6
A001,A,banana,2021-07-17,SAT,2.83,291,823.53,66.3
A001,A,banana,2021-07-18,SUN,2.83,291,823.53,66.4
A001,A,banana,2021-07-19,MON,2.83,266,752.78,72.2
A001,A,banana,2021-07-20,TUE,2.83,263,744.29,73.4
A001,A,banana,2021-07-21,WED,2.83,264,747.12,77.3
A001,A,banana,2021-07-22,THU,2.86,261,746.46,69.6
A001,A,banana,2021-07-23,FRI,2.86,266,760.76,78.7
A001,A,banana,2021-07-24,SAT,2.86,289,826.54,82
A001,A,banana,2021-07-25,SUN,2.86,290,829.4,89.1
A001,A,banana,2021-07-26,MON,2.86,261,746.46,75.5
A001,A,banana,2021-07-27,TUE,2.86,268,766.48,80.9
A001,A,banana,2021-07-28,WED,2.86,268,766.48,80.7
A001,A,banana,2021-07-29,THU,2.85,263,749.55,67.8
A001,A,banana,2021-07-30,FRI,2.85,260,741,89
A001,A,banana,2021-07-31,SAT,2.85,290,826.5,83
A001,A,banana,2021-08-01,SUN,2.85,290,826.5,87.9
A001,A,banana,2021-08-02,MON,2.85,266,758.1,77.6
A001,A,banana,2021-08-03,TUE,2.85,268,763.8,77.1
A001,A,banana,2021-08-04,WED,2.85,261,743.85,69.7
A001,A,banana,2021-08-05,THU,2.85,265,755.25,83.5
A001,A,banana,2021-08-06,FRI,2.85,261,743.85,80.8
A001,A,banana,2021-08-07,SAT,2.85,290,826.5,82.6
A001,A,banana,2021-08-08,SUN,2.85,291,829.35,80.3
A001,A,banana,2021-08-09,MON,2.85,260,741,82
A001,A,banana,2021-08-10,TUE,2.85,262,746.7,77.3
A001,A,banana,2021-08-11,WED,2.85,269,766.65,72.8
A001,A,banana,2021-08-12,THU,2.84,264,749.76,81.6
A001,A,banana,2021-08-13,FRI,2.84,270,766.8,77.6
A001,A,banana,2021-08-14,SAT,2.84,290,823.6,75.3
A001,A,banana,2021-08-15,SUN,2.84,287,815.08,77.9
A001,A,banana,2021-08-16,MON,2.84,267,758.28,76.8
A001,A,banana,2021-08-17,TUE,2.84,267,758.28,81.3
A001,A,banana,2021-08-18,WED,2.84,264,749.76,76.1
A001,A,banana,2021-08-19,THU,2.87,266,763.42,76.5
A001,A,banana,2021-08-20,FRI,2.87,269,772.03,80.6
A001,A,banana,2021-08-21,SAT,2.87,290,832.3,89
A001,A,banana,2021-08-22,SUN,2.87,289,829.43,88.9
A001,A,banana,2021-08-23,MON,2.87,269,772.03,78.6
A001,A,banana,2021-08-24,TUE,2.87,267,766.29,77.1
A001,A,banana,2021-08-25,WED,2.87,268,769.16,80.1
A001,A,banana,2021-08-26,THU,2.87,267,766.29,73.1
A001,A,banana,2021-08-27,FRI,2.87,260,746.2,77.4
A001,A,banana,2021-08-28,SAT,2.87,287,823.69,78.7
A001,A,banana,2021-08-29,SUN,2.87,291,835.17,78.4
A001,A,banana,2021-08-30,MON,2.87,264,757.68,82.2
A001,A,banana,2021-08-31,TUE,2.87,263,754.81,83
A001,A,banana,2021-09-01,WED,2.87,263,754.81,80.1
A001,A,banana,2021-09-02,THU,2.87,264,757.68,78.9
A001,A,banana,2021-09-03,FRI,2.87,268,769.16,74.4
A001,A,banana,2021-09-04,SAT,2.87,290,832.3,83.1
A001,A,banana,2021-09-05,SUN,2.87,287,823.69,76.9
A001,A,banana,2021-09-06,MON,2.87,263,754.81,75.5
A001,A,banana,2021-09-07,TUE,2.87,261,749.07,66.7
A001,A,banana,2021-09-08,WED,2.87,267,766.29,63
A001,A,banana,2021-09-09,THU,2.89,261,754.29,85.9
A001,A,banana,2021-09-10,FRI,2.89,267,771.63,87.5
A001,A,banana,2021-09-11,SAT,2.89,287,829.43,76.1
A001,A,banana,2021-09-12,SUN,2.89,287,829.43,75.5
A001,A,banana,2021-09-13,MON,2.89,268,774.52,77.8
A001,A,banana,2021-09-14,TUE,2.89,264,762.96,94.1
A001,A,banana,2021-09-15,WED,2.89,262,757.18,84.2
A001,A,banana,2021-09-16,THU,2.92,260,759.2,83.4
A001,A,banana,2021-09-17,FRI,2.92,268,782.56,83.2
A001,A,banana,2021-09-18,SAT,2.92,289,843.88,78.4
A001,A,banana,2021-09-19,SUN,2.92,289,843.88,88.7
A001,A,banana,2021-09-20,MON,2.92,264,770.88,82
A001,A,banana,2021-09-21,TUE,2.92,262,765.04,80
A001,A,banana,2021-09-22,WED,2.92,263,767.96,81.8
A001,A,banana,2021-09-23,THU,2.94,268,787.92,77.4
A001,A,banana,2021-09-24,FRI,2.94,265,779.1,80.8
A001,A,banana,2021-09-25,SAT,2.94,290,852.6,91.7
A001,A,banana,2021-09-26,SUN,2.94,291,855.54,83.3
A001,A,banana,2021-09-27,MON,2.94,265,779.1,76.7
A001,A,banana,2021-09-28,TUE,2.94,262,770.28,85.1
A001,A,banana,2021-09-29,WED,2.94,269,790.86,76.5
A001,A,banana,2021-09-30,THU,2.96,269,796.24,88.3
A001,A,cherry,2021-04-01,THU,6.27,290,1818.3,81.7
A001,A,cherry,2021-04-02,FRI,6.27,292,1830.84,70.6
A001,A,cherry,2021-04-03,SAT,6.27,320,2006.4,72.7
A001,A,cherry,2021-04-04,SUN,6.27,320,2006.4,70
A001,A,cherry,2021-04-05,MON,6.27,294,1843.38,50
A001,A,cherry,2021-04-06,TUE,6.27,291,1824.57,62.1
A001,A,cherry,2021-04-07,WED,6.27,288,1805.76,63.6
A001,A,cherry,2021-04-08,THU,6.27,295,1849.65,67.9
A001,A,cherry,2021-04-09,FRI,6.27,296,1855.92,81.3
A001,A,cherry,2021-04-10,SAT,6.27,320,2006.4,81.7
A001,A,cherry,2021-04-11,SUN,6.27,320,2006.4,75.8
A001,A,cherry,2021-04-12,MON,6.27,297,1862.19,64.1
A001,A,cherry,2021-04-13,TUE,6.27,290,1818.3,54.2
A001,A,cherry,2021-04-14,WED,6.27,297,1862.19,59.8
A001,A,cherry,2021-04-15,THU,6.26,290,1815.4,70.3
A001,A,cherry,2021-04-16,FRI,6.26,291,1821.66,70.8
A001,A,cherry,2021-04-17,SAT,6.26,316,1978.16,57.3
A001,A,cherry,2021-04-18,SUN,6.26,316,1978.16,55.7
A001,A,cherry,2021-04-19,MON,6.26,291,1821.66,66.6
A001,A,cherry,2021-04-20,TUE,6.26,293,1834.18,68.4
A001,A,cherry,2021-04-21,WED,6.26,296,1852.96,73.7
A001,A,cherry,2021-04-22,THU,6.26,297,1859.22,62.8
A001,A,cherry,2021-04-23,FRI,6.26,292,1827.92,60.2
A001,A,cherry,2021-04-24,SAT,6.26,315,1971.9,58.6
A001,A,cherry,2021-04-25,SUN,6.26,321,2009.46,70.3
A001,A,cherry,2021-04-26,MON,6.26,292,1827.92,60.3
A001,A,cherry,2021-04-27,TUE,6.26,290,1815.4,68.9
A001,A,cherry,2021-04-28,WED,6.26,291,1821.66,66.9
A001,A,cherry,2021-04-29,THU,6.27,289,1812.03,68.4
A001,A,cherry,2021-04-30,FRI,6.27,298,1868.46,65.9
A001,A,cherry,2021-05-01,SAT,6.27,316,1981.32,69.4
A001,A,cherry,2021-05-02,SUN,6.27,316,1981.32,63.4
A001,A,cherry,2021-05-03,MON,6.27,289,1812.03,76.6
A001,A,cherry,2021-05-04,TUE,6.27,286,1793.22,72
A001,A,cherry,2021-05-05,WED,6.27,290,1818.3,77
A001,A,cherry,2021-05-06,THU,6.28,292,1833.76,71.7
A001,A,cherry,2021-05-07,FRI,6.28,295,1852.6,61.3
A001,A,cherry,2021-05-08,SAT,6.28,318,1997.04,83.4
A001,A,cherry,2021-05-09,SUN,6.28,317,1990.76,76
A001,A,cherry,2021-05-10,MON,6.28,291,1827.48,73.5
A001,A,cherry,2021-05-11,TUE,6.28,288,1808.64,72.5
A001,A,cherry,2021-05-12,WED,6.28,293,1840.04,70
A001,A,cherry,2021-05-13,THU,6.31,294,1855.14,87.9
A001,A,cherry,2021-05-14,FRI,6.31,296,1867.76,84.6
A001,A,cherry,2021-05-15,SAT,6.31,317,2000.27,90.2
A001,A,cherry,2021-05-16,SUN,6.31,316,1993.96,84
A001,A,cherry,2021-05-17,MON,6.31,295,1861.45,82.9
A001,A,cherry,2021-05-18,TUE,6.31,292,1842.52,78.9
A001,A,cherry,2021-05-19,WED,6.31,296,1867.76,74.8
A001,A,cherry,2021-05-20,THU,6.33,295,1867.35,81.9
A001,A,cherry,2021-05-21,FRI,6.33,287,1816.71,81.8
A001,A,cherry,2021-05-22,SAT,6.33,319,2019.27,83.3
A001,A,cherry,2021-05-23,SUN,6.33,321,2031.93,80.2
A001,A,cherry,2021-05-24,MON,6.33,297,1880.01,84.4
A001,A,cherry,2021-05-25,TUE,6.33,288,1823.04,75.7
A001,A,cherry,2021-05-26,WED,6.33,288,1823.04,79.4
A001,A,cherry,2021-05-27,THU,6.35,294,1866.9,75.3
A001,A,cherry,2021-05-28,FRI,6.35,288,1828.8,74.9
A001,A,cherry,2021-05-29,SAT,6.35,320,2032,65.5
A001,A,cherry,2021-05-30,SUN,6.35,317,2012.95,78.2
A001,A,cherry,2021-05-31,MON,6.35,294,1866.9,74.8
A001,A,cherry,2021-06-01,TUE,6.35,296,1879.6,62.7
